_id,container_id,receptacle_model_id,address,zip,neighborhood
314722,1,74,122 E North Ave,15212,Central Northside
314723,2,74,2507 Brighton Rd,15212,Marshall-Shadeland
314724,3,74,1300 Federal St,15212,Central Northside
314725,4,74,110 Federal St,15212,Allegheny Center
314726,5,74,490 E North Ave,15212,Central Northside
314727,6,74,1501 Brighton Rd,15212,California-Kirkbride
314728,7,74,3113 Brighton Rd,15212,Marshall-Shadeland
314729,8,74,1729 Brighton Rd,15212,California-Kirkbride
314730,9,74,710 W North Ave,15212,Allegheny Center
314731,10,74,919 Fulton St,15233,Manchester
314732,11,74,3900 Perrysville Ave,15214,Perry North
314733,12,74,2515 Preble Ave,15233,Marshall-Shadeland
314734,13,74,3876 Perrysville Ave,15214,Perry North
314735,14,74,1729 Eckert Street,15212,Marshall-Shadeland
314736,15,74,2344 Perrysville Ave,15214,Perry South
314737,16,74,308 Catoma Street,15212,Fineview
314738,17,74,1438 Columbus Ave,15233,Manchester
314739,18,74,2639 Perrysville Ave,15214,Perry South
314740,19,74,910 Galveston Ave,15233,Allegheny West
314741,20,74,3957 Perrysville Ave,15214,Perry North
314742,21,74,2909 Perrysville Ave,15214,Perry North
314743,22,74,3472 Perrysville Ave,15214,Perry North
314744,23,74,1305 Allegheny Ave,15233,Manchester
314745,24,74,1414 Brighton Rd,15212,Central Northside
314746,25,74,1211 Troy Hill Rd,15212,Troy Hill
314747,26,74,2320 California Ave,15233,Marshall-Shadeland
314748,27,74,404 Cedar Avenue,15212,East Allegheny
314749,28,74,320 E North Ave,15212,Allegheny Center
314750,29,74,3461 Perrysville Ave,15214,Perry North
314751,30,74,3607 Brighton Rd,15212,Brighton Heights
314752,31,74,1814 Homer St,15212,Spring Hill-City View
314753,32,74,1819 Manhattan St,15233,Manchester
314754,33,74,3159 Shadeland Ave,15212,Marshall-Shadeland
314755,34,74,862 Spring Garden Ave,15212,East Allegheny
314756,35,74,1483 Benton Ave,15212,Brighton Heights
314757,36,74,1800 Meadville St,15214,Fineview
314758,37,74,208 Jacksonia Street,15212,Central Northside
314759,38,74,1108 Federal Street,15212,Central Northside
314760,39,74,1201 Woods Run Avenue,15212,Marshall-Shadeland
314761,40,74,416 West North Avenue,15212,Central Northside
314762,41,74,623 E Ohio St,15212,East Allegheny
314763,42,74,6 W North Ave,15212,Allegheny Center
314764,43,74,2919 California Ave,15212,Marshall-Shadeland
314765,44,74,2101 Perrysville Ave,15214,Perry South
314766,45,74,3934 Brighton Rd,15212,Brighton Heights
314767,46,74,1200 Spring Garden Ave,15212,Spring Garden
314768,47,74,924 Spring Garden Ave,15212,East Allegheny
314769,48,74,1709 Lowrie St,15212,Troy Hill
314770,50,74,1442 Lowrie St,15212,Troy Hill
314771,51,74,3302 Fleming Ave,15212,Brighton Heights
314772,52,74,2441 Perrysville Ave,15214,Perry South
314773,53,74,1034 Peralta Street,15212,Troy Hill
314774,54,74,1918 Lowrie St,15212,Troy Hill
314775,55,74,2625 Shadeland Ave,15212,Marshall-Shadeland
314776,56,74,3400 Shadeland Ave,15212,Brighton Heights
314777,57,74,1800 Lowrie St,15212,Troy Hill
314778,58,74,East Street,15214,Perry North
314779,59,74,620 E Ohio St,15212,East Allegheny
314780,60,74,600 E Ohio St,15212,East Allegheny
314781,62,74,1440 Spring Garden Ave,15212,Spring Garden
314782,63,74,3572 Brighton Rd,15212,Brighton Heights
314783,64,74,848 E Ohio St,15212,East Allegheny
314784,65,74,3152 Brighton Rd,15212,Marshall-Shadeland
314785,66,74,3141 Brighton Rd,15212,Marshall-Shadeland
314786,67,74,3878 Brighton Rd,15212,Brighton Heights
314787,68,74,3801 Brighton Rd,15212,Brighton Heights
314788,69,74,1351 Damas Street,15212,Spring Hill-City View
314789,70,74,2703 Brighton Rd,15212,Marshall-Shadeland
314790,71,74,705 Brighton Rd,15233,Allegheny West
314791,73,74,632 E Ohio St,15212,East Allegheny
314792,74,74,1620 Spring Garden Ave,15212,Spring Garden
314793,75,74,863 Peralta Street,15212,East Allegheny
314794,76,74,2403 Perrysville Ave,15214,Perry South
314795,77,74,1246 Brighton Rd,15233,Central Northside
314796,78,74,2723 Brighton Rd,15212,Marshall-Shadeland
314797,80,74,1300 Federal St,15212,Central Northside
314798,81,74,500 Cedar Avenue,15212,East Allegheny
314799,82,74,2117 Lowrie St,15212,Troy Hill
314800,83,74,401 W Commons St,15212,Allegheny Center
314801,85,74,402 Catoma Street,15212,Fineview
314802,86,74,1619 Manhattan St,15233,Manchester
314803,87,74,2515 Preble Ave,15233,Marshall-Shadeland
314804,88,74,4000 Brighton Rd,15212,Brighton Heights
314805,89,74,3414 East Street,15214,Northview Heights
314806,90,74,3244 Brighton Rd,15212,Marshall-Shadeland
314807,91,74,3202 Brighton Road,15212,Marshall-Shadeland
314808,92,74,1603 Beaver Avenue,15233,Chateau
314809,93,74,3243 Brighton Rd,15212,Marshall-Shadeland
314810,94,74,632 E Ohio St,15212,East Allegheny
314811,95,74,1845 Ley St,15212,Troy Hill
314812,96,74,1320 Troy Hill Rd,15212,Troy Hill
314813,97,74,1413 Troy Hill Rd,15212,Troy Hill
314814,98,74,1310 Benton Ave,15212,Brighton Heights
314815,99,74,1612 Lowrie St,15212,Troy Hill
314816,100,74,862 Western Ave,15233,Allegheny West
314817,101,74,857 Western Ave,15233,Allegheny West
314818,102,74,900 Western Ave,15233,Allegheny West
314819,103,74,818 Western Ave,15233,Allegheny West
314820,105,74,540 E Ohio St,15212,East Allegheny
314821,107,74,528 E Ohio St,15212,East Allegheny
314822,108,74,902 Fifth Avenue,15219,Bluff
314823,109,74,1208 Fifth Avenue,15219,Bluff
314824,110,74,1000 Fifth Avenue,15219,Bluff
314825,112,74,537 Suismon Street,15212,East Allegheny
314826,115,74,624 Cedar Ave,15212,East Allegheny
314827,116,74,3573 Shadeland Ave,15212,Brighton Heights
314828,117,74,3301 Brighton Rd,15212,Brighton Heights
314829,118,74,600 W North Ave,15212,Allegheny Center
314830,119,74,613 E Ohio St,15212,East Allegheny
314831,121,74,5201 Penn Avenue,15224,Garfield
314832,122,74,2940 Arlington Ave,15210,Arlington
314833,123,74,130 Saline Street,15207,Greenfield
314834,125,74,6325 Penn Avenue,15206,East Liberty
314835,126,74,1820 Morningside Avenue,15206,Morningside
314836,127,74,405 Saint Joseph Street,15210,Mt. Oliver
314837,128,74,2635 Brownsville Rd,15227,Carrick
314838,129,74,6101 Penn Avenue,15206,East Liberty
314839,130,74,517 Greenfield Ave,15207,Greenfield
314840,132,74,4041 Boulevard Drive,15217,Greenfield
314841,133,74,6135 Penn Avenue,15206,East Liberty
314842,134,74,6244 Penn Avenue,15206,East Liberty
314843,136,74,1616 Broadway Ave,15216,Beechview
314844,137,74,7103 Reynolds Street,15208,Point Breeze
314845,138,74,1304 Fifth Avenue,15219,Central Business District
314846,139,74,6024 Penn Avenue,15206,East Liberty
