_id,date,site,parameter,index_value,description,health_advisory,health_effects
75571,1/1/2024,Pittsburgh,NO2_500,9,Good,,
75572,1/1/2024,Pittsburgh,PM10_640,10,Good,,
75573,1/1/2024,North Braddock,PM25_640,19,Good,,
75574,1/1/2024,Parkway East,PM25_640,20,Good,,
75575,1/1/2024,Lawrenceville 2,SO2,0,Good,,
75576,1/1/2024,Lawrenceville 2,CO,2,Good,,
75577,1/1/2024,Liberty,PM10_640,8,Good,,
75578,1/1/2024,North Braddock,PM10_640,12,Good,,
75579,1/1/2024,Liberty,PM25_640,18,Good,,
75580,1/1/2024,Pittsburgh,PM25_640,25,Good,,
75581,1/1/2024,Harrison Township,NO2,8,Good,,
75582,1/1/2024,Parkway East,NO2,8,Good,,
75583,1/1/2024,North Braddock,SO2,0,Good,,
75584,1/1/2024,North Braddock,CO,3,Good,,
75585,1/1/2024,Parkway East,CO,6,Good,,
75586,1/1/2024,Harrison Township,OZONE,24,Good,,
75587,1/1/2024,Lawrenceville,OZONE,23,Good,,
75588,1/1/2024,South Fayette,OZONE,25,Good,,
75589,1/1/2024,Glassport High Street,PM10,6,Good,,
75590,1/1/2024,Avalon,PM25_640,20,Good,,
75591,1/1/2024,Liberty,SO2,1,Good,,
75592,1/1/2024,Clairton,PM25_640,17,Good,,
75604,1/2/2024,North Braddock,CO,2,Good,,
75605,1/2/2024,South Fayette,OZONE,26,Good,,
75606,1/2/2024,North Braddock,PM10_640,6,Good,,
75607,1/2/2024,Pittsburgh,PM10_640,8,Good,,
75608,1/2/2024,Lawrenceville 2,CO,2,Good,,
75609,1/2/2024,Parkway East,CO,4,Good,,
75610,1/2/2024,Parkway East,NO2,10,Good,,
75611,1/2/2024,Harrison Township,OZONE,24,Good,,
75612,1/2/2024,Lawrenceville,OZONE,21,Good,,
75613,1/2/2024,Avalon,PM25_640,21,Good,,
75614,1/2/2024,Liberty,PM25_640,20,Good,,
75615,1/2/2024,North Braddock,SO2,0,Good,,
75616,1/2/2024,Harrison Township,NO2,5,Good,,
75617,1/2/2024,Glassport High Street,PM10,4,Good,,
75618,1/2/2024,Liberty,SO2,0,Good,,
75619,1/2/2024,Pittsburgh,NO2_500,7,Good,,
75620,1/2/2024,Liberty,PM10_640,6,Good,,
75621,1/2/2024,North Braddock,PM25_640,21,Good,,
75622,1/2/2024,Parkway East,PM25_640,21,Good,,
75623,1/2/2024,Lawrenceville 2,SO2,1,Good,,
75624,1/2/2024,Pittsburgh,PM25_640,29,Good,,
75625,1/2/2024,Clairton,PM25_640,19,Good,,
75626,1/3/2024,Glassport High Street,PM10,6,Good,,
75627,1/3/2024,Liberty,SO2,4,Good,,
75628,1/3/2024,Lawrenceville 2,CO,2,Good,,
75629,1/3/2024,Harrison Township,NO2,11,Good,,
75630,1/3/2024,Parkway East,NO2,11,Good,,
75631,1/3/2024,Lawrenceville,OZONE,20,Good,,
75632,1/3/2024,Avalon,PM25_640,32,Good,,
75633,1/3/2024,Liberty,PM25_640,28,Good,,
75634,1/3/2024,North Braddock,SO2,3,Good,,
75635,1/3/2024,Pittsburgh,NO2_500,13,Good,,
75636,1/3/2024,Liberty,PM10_640,7,Good,,
75637,1/3/2024,Parkway East,PM25_640,29,Good,,
75638,1/3/2024,North Braddock,CO,2,Good,,
75639,1/3/2024,Parkway East,CO,3,Good,,
75640,1/3/2024,Harrison Township,OZONE,21,Good,,
75641,1/3/2024,South Fayette,OZONE,23,Good,,
75642,1/3/2024,North Braddock,PM10_640,8,Good,,
75643,1/3/2024,Pittsburgh,PM10_640,11,Good,,
75644,1/3/2024,North Braddock,PM25_640,29,Good,,
75645,1/3/2024,Lawrenceville 2,SO2,2,Good,,
75646,1/3/2024,Clairton,PM25_640,25,Good,,
75647,1/3/2024,Pittsburgh,PM25_640,42,Good,,
75648,1/4/2024,Pittsburgh,NO2_500,8,Good,,
75649,1/4/2024,Liberty,PM10_640,8,Good,,
75650,1/4/2024,North Braddock,PM10_640,9,Good,,
75651,1/4/2024,North Braddock,CO,2,Good,,
75652,1/4/2024,Parkway East,CO,6,Good,,
75653,1/4/2024,Harrison Township,OZONE,33,Good,,
75654,1/4/2024,South Fayette,OZONE,32,Good,,
75655,1/4/2024,Pittsburgh,PM10_640,12,Good,,
75656,1/4/2024,North Braddock,PM25_640,17,Good,,
75657,1/4/2024,Parkway East,PM25_640,17,Good,,
75658,1/4/2024,Lawrenceville 2,SO2,1,Good,,
